日期,成交价,成交量,成交额,地点
2014-04-02,21.0,510020.0,10710400.0,湖北
2014-04-03,24.200000762939453,51468.0,1245530.0,湖北
2014-04-04,26.6200008392334,304125.0,8092670.0,湖北
2014-04-05,26.6200008392334,0.0,0.0,湖北
2014-04-06,26.6200008392334,0.0,0.0,湖北
2014-04-07,26.6200008392334,0.0,0.0,湖北
2014-04-08,29.25,112057.0,2976900.0,湖北
2014-04-09,25.030000686645508,77473.0,1941890.0,湖北
2014-04-10,24.5,64950.0,1606700.0,湖北
2014-04-11,24.0,113059.0,2803660.0,湖北
2014-04-12,24.0,0.0,0.0,湖北
2014-04-13,24.0,0.0,0.0,湖北
2014-04-14,24.5,58370.0,1427740.0,湖北
2014-04-15,25.299999237060547,63175.0,1600130.0,湖北
2014-04-16,25.200000762939453,76053.0,1912900.0,湖北
2014-04-17,25.5,99390.0,2457820.0,湖北
2014-04-18,25.200000762939453,77544.0,1944260.0,湖北
2014-04-19,25.200000762939453,0.0,0.0,湖北
2014-04-20,25.200000762939453,0.0,0.0,湖北
2014-04-21,25.079999923706055,99891.0,2481980.0,湖北
2014-04-22,24.600000381469727,116412.0,2882400.0,湖北
2014-04-23,24.600000381469727,65882.0,1609730.0,湖北
2014-04-24,24.0,49084.0,1183300.0,湖北
2014-04-25,24.299999237060547,55345.0,1344410.0,湖北
2014-04-26,24.299999237060547,0.0,0.0,湖北
2014-04-27,24.299999237060547,0.0,0.0,湖北
2014-04-28,25.0,57357.0,1404900.0,湖北
2014-04-29,23.989999771118164,62994.0,1527790.0,湖北
2014-04-30,24.450000762939453,2034940.0,83552.0,湖北
2014-05-01,24.450000762939453,0.0,0.0,湖北
2014-05-02,24.450000762939453,0.0,0.0,湖北
2014-05-03,24.450000762939453,0.0,0.0,湖北
2014-05-04,24.450000762939453,0.0,0.0,湖北
2014-05-05,24.0,50770.0,1228300.0,湖北
2014-05-06,23.989999771118164,42494.0,1012620.0,湖北
2014-05-07,23.959999084472656,43426.0,1032290.0,湖北
2014-05-08,23.850000381469727,45483.0,1079320.0,湖北
2014-05-09,23.729999542236328,38590.0,915799.0,湖北
2014-05-10,23.729999542236328,0.0,0.0,湖北
2014-05-11,23.729999542236328,0.0,0.0,湖北
2014-05-12,23.709999084472656,35890.0,847552.0,湖北
2014-05-13,23.510000228881836,70038.0,1652710.0,湖北
2014-05-14,23.530000686645508,75370.0,1787700.0,湖北
2014-05-15,23.760000228881836,46567.0,1118140.0,湖北
2014-05-16,25.0,41991.0,1006100.0,湖北
2014-05-17,25.0,0.0,0.0,湖北
2014-05-18,25.0,0.0,0.0,湖北
2014-05-19,24.299999237060547,45736.0,1095170.0,湖北
2014-05-20,24.209999084472656,36258.0,871286.0,湖北
2014-05-21,24.239999771118164,49062.0,1168390.0,湖北
2014-05-22,24.0,39071.0,949944.0,湖北
2014-05-23,24.0,43977.0,1051270.0,湖北
2014-05-24,24.0,0.0,0.0,湖北
2014-05-25,24.0,43977.0,1051270.0,湖北
2014-05-26,24.299999237060547,53045.0,1267470.0,湖北
2014-05-27,23.850000381469727,42235.0,1008860.0,湖北
2014-05-28,23.75,39347.0,939924.0,湖北
2014-05-29,23.829999923706055,49285.0,1168710.0,湖北
2014-05-30,24.0,42430.0,1014490.0,湖北
2014-05-31,24.0,0.0,0.0,湖北
2014-06-01,24.0,0.0,0.0,湖北
2014-06-02,24.0,0.0,0.0,湖北
2014-06-03,23.90999984741211,38890.0,930709.0,湖北
2014-06-04,23.899999618530273,40311.0,966504.0,湖北
2014-06-05,23.979999542236328,37699.0,902551.0,湖北
2014-06-06,23.399999618530273,46743.0,1104260.0,湖北
2014-06-07,23.399999618530273,0.0,0.0,湖北
2014-06-08,23.399999618530273,0.0,0.0,湖北
2014-06-09,23.649999618530273,40005.0,949125.0,湖北
2014-06-10,23.799999237060547,51044.0,1208900.0,湖北
2014-06-11,23.600000381469727,69436.0,1641760.0,湖北
2014-06-12,23.75,42191.0,992439.0,湖北
2014-06-13,23.75,42435.0,992721.0,湖北
2014-06-14,23.75,0.0,0.0,湖北
2014-06-15,23.75,0.0,0.0,湖北
2014-06-16,24.0,42312.0,989599.0,湖北
2014-06-17,23.0,55305.0,1264090.0,湖北
2014-06-18,22.010000228881836,43208.0,989034.0,湖北
2014-06-19,23.0,49128.0,1125830.0,湖北
2014-06-20,22.959999084472656,35251.0,808088.0,湖北
2014-06-21,22.959999084472656,0.0,0.0,湖北
2014-06-22,22.959999084472656,0.0,0.0,湖北
2014-06-23,22.920000076293945,52329.0,1198840.0,湖北
2014-06-24,23.450000762939453,37453.0,865396.0,湖北
2014-06-25,25.15999984741211,41431.0,954992.0,湖北
2014-06-26,21.0,50022.0,1136790.0,湖北
2014-06-27,23.0,42155.0,953669.0,湖北
2014-06-28,23.0,0.0,0.0,湖北
2014-06-29,23.0,0.0,0.0,湖北
2014-06-30,24.399999618530273,62454.0,1420090.0,湖北
2014-07-01,22.850000381469727,33999.0,774384.0,湖北
2014-07-02,23.799999237060547,52073.0,1192930.0,湖北
2014-07-03,24.299999237060547,52724.0,1206180.0,湖北
2014-07-04,23.0,44752.0,1018540.0,湖北
2014-07-05,23.0,0.0,0.0,湖北
2014-07-06,23.0,0.0,0.0,湖北
2014-07-07,23.0,38383.0,880997.0,湖北
2014-07-08,23.5,37879.0,879542.0,湖北
2014-07-09,23.219999313354492,47742.0,1109810.0,湖北
2014-07-10,23.5,36873.0,858468.0,湖北
