调整日期,汽油价格,柴油价格,汽油涨跌,柴油涨跌
2000-06-06,2935,2430,,
2000-07-15,3135,2610,200.0,180.0
2000-08-18,3405,2770,270.0,160.0
2000-09-20,3615,3070,210.0,300.0
2000-10-20,3435,3440,-180.0,370.0
2000-11-18,3185,3310,-250.0,-130.0
2000-12-21,3165,3010,-20.0,-300.0
2001-01-14,3035,2675,-130.0,-335.0
2001-02-06,2870,2485,-165.0,-190.0
2001-03-07,3080,2440,210.0,-45.0
2001-04-10,2970,2350,-110.0,-90.0
2001-05-15,3070,2560,100.0,210.0
2001-06-06,3260,2690,190.0,130.0
2001-07-04,2810,2630,-450.0,-60.0
2001-08-09,2530,2580,-280.0,-50.0
2001-09-10,2530,2480,0.0,-100.0
2001-10-18,2780,2500,250.0,20.0
2001-11-25,2420,2140,-360.0,-360.0
2002-01-02,2190,1930,-230.0,-210.0
2002-03-05,2320,2060,130.0,130.0
2002-04-05,2580,2300,260.0,240.0
2002-05-05,2820,2540,240.0,240.0
2002-10-12,3020,2730,200.0,190.0
2003-02-02,3210,2900,190.0,170.0
2003-05-11,2920,2640,-290.0,-260.0
2003-07-02,3010,2640,90.0,0.0
2003-12-07,3210,2820,200.0,180.0
2004-04-01,3510,2820,300.0,0.0
2004-05-19,3510,3100,0.0,280.0
2004-08-26,3750,3320,240.0,220.0
2005-03-24,4050,3320,300.0,0.0
2005-05-11,4050,3470,0.0,150.0
2005-05-25,3900,3470,-150.0,0.0
2005-06-26,4100,3620,200.0,150.0
2005-07-24,4400,3870,300.0,250.0
2006-03-27,4700,4070,300.0,200.0
2006-05-25,5200,4570,500.0,500.0
2007-01-15,4980,4570,-220.0,0.0
2007-11-02,5480,5070,500.0,500.0
2008-06-21,6480,6070,1000.0,1000.0
2008-12-20,5580,4970,-900.0,-1100.0
2009-01-15,5440,4810,-140.0,-160.0
2009-03-26,5730,4990,290.0,180.0
2009-04-02,5730,4990,0.0,0.0
2009-05-20,5730,4990,0.0,0.0
2009-06-02,6130,5390,400.0,400.0
2009-07-01,6730,5990,600.0,600.0
2009-07-30,6510,5770,-220.0,-220.0
2009-09-03,6810,6070,300.0,300.0
2009-10-01,6620,5880,-190.0,-190.0
2009-10-12,6620,5880,0.0,0.0
2009-11-11,7100,6360,480.0,480.0
2010-04-15,7420,6680,320.0,320.0
2010-06-02,7190,6460,-230.0,-220.0
2010-10-27,7420,6680,230.0,220.0
2010-12-23,7730,6980,310.0,300.0
2011-02-21,8080,7330,350.0,350.0
2011-04-08,8580,7730,500.0,400.0
2011-10-10,8280,7430,-300.0,-300.0
2012-02-09,8580,7730,300.0,300.0
2012-03-21,9180,8330,600.0,600.0
2012-05-11,8850,8020,-330.0,-310.0
2012-06-10,8320,7510,-530.0,-510.0
2012-07-12,7900,7110,-420.0,-400.0
2012-08-11,8290,7480,390.0,370.0
2012-09-11,8840,8020,550.0,540.0
2012-11-16,8530,7720,-310.0,-300.0
2013-02-25,8830,8010,300.0,290.0
2013-03-27,8520,7710,-310.0,-300.0
2013-04-25,8125,7310,-395.0,-400.0
2013-05-10,8220,7405,95.0,95.0
2013-06-07,8125,7315,-95.0,-90.0
2013-06-22,8225,7410,100.0,95.0
2013-07-06,8145,7335,-80.0,-75.0
2013-07-20,8470,7645,325.0,310.0
2013-08-31,8705,7870,235.0,225.0
2013-09-14,8795,7955,90.0,85.0
2013-09-30,8550,7720,-245.0,-235.0
2013-11-01,8475,7645,-75.0,-75.0
2013-11-15,8315,7490,-160.0,-155.0
2013-11-29,8475,7645,160.0,155.0
2013-12-13,8535,7705,60.0,60.0
2014-01-11,8700,7585,165.0,-120.0
2014-01-25,8570,7460,-130.0,-125.0
2014-02-27,8775,7660,205.0,200.0
2014-03-27,8640,7530,-135.0,-130.0
2014-04-25,8795,7675,155.0,145.0
2014-05-10,8745,7625,-50.0,-50.0
2014-05-24,8815,7695,70.0,70.0
2014-06-24,8980,7855,165.0,160.0
2014-07-22,8735,7620,-245.0,-235.0
2014-08-19,8545,7435,-190.0,-185.0
2014-09-02,8440,7335,-105.0,-100.0
2014-09-17,8300,7200,-140.0,-135.0
2014-09-30,8200,7105,-100.0,-95.0
2014-10-18,7900,6815,-300.0,-290.0
2014-11-01,7655,6580,-245.0,-235.0
2014-11-15,7465,6400,-190.0,-180.0
2014-12-13,7295,6000,-170.0,-400.0
2014-12-27,6775,5500,-520.0,-500.0
