序号,基金代码,基金简称,拆分折算日,拆分类型,拆分折算
1,560660,云计算50ETF新华,2026-04-24,份额分拆,2.0
2,510950,上证50ETF广发,2026-04-24,份额分拆,1.28769271
3,513660,恒生ETF华夏,2026-04-20,份额分拆,2.0
4,518800,黄金ETF国泰,2026-04-14,份额折算,0.94231553
5,025275,博时双月薪债券C,2026-04-03,份额折算,
6,000277,博时双月薪债券A,2026-04-03,份额折算,
7,159387,国泰创业板新能源ETF,2026-03-27,份额分拆,2.0
8,159516,国泰中证半导体材料设备主题ETF,2026-03-27,份额分拆,2.0
9,512760,国泰CES半导体芯片ETF,2026-03-26,份额分拆,2.0
10,159246,富国创业板人工智能ETF,2026-02-12,份额分拆,2.0
11,159871,银华中证有色金属ETF,2026-02-06,份额分拆,2.0
12,159994,银华中证5G通信主题ETF,2026-02-06,份额分拆,2.0
13,000465,景顺长城鑫月薪定期支付债券,2026-02-05,份额折算,1.01466868
14,588780,国联安科创芯片设计ETF,2026-02-02,份额分拆,2.0
15,515880,国泰中证全指通信设备ETF,2026-02-02,份额分拆,3.0
16,159388,国泰创业板人工智能ETF,2026-01-23,份额分拆,2.5
