序号,姓名,所属公司,现任基金代码,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
1,艾邦妮,华夏基金,001924,华夏国企改革混合,1332,2.85,49.91
1,艾邦妮,华夏基金,010692,华夏核心价值混合A,1332,2.85,49.91
1,艾邦妮,华夏基金,010693,华夏核心价值混合C,1332,2.85,49.91
2,艾翀,中信建投基金,000926,中信建投睿信灵活配置混合A,1205,4.57,125.05
2,艾翀,中信建投基金,003308,中信建投睿利A,1205,4.57,125.05
2,艾翀,中信建投基金,004635,中信建投睿利C,1205,4.57,125.05
2,艾翀,中信建投基金,004676,中信建投睿信灵活配置混合C,1205,4.57,125.05
2,艾翀,中信建投基金,011410,中信建投量化进取A,1205,4.57,125.05
2,艾翀,中信建投基金,011411,中信建投量化进取C,1205,4.57,125.05
2,艾翀,中信建投基金,019322,中信建投致远混合A,1205,4.57,125.05
2,艾翀,中信建投基金,019323,中信建投致远混合C,1205,4.57,125.05
2,艾翀,中信建投基金,024390,中信建投上证科创板综合指数增强A,1205,4.57,125.05
2,艾翀,中信建投基金,024391,中信建投上证科创板综合指数增强C,1205,4.57,125.05
3,艾定飞,华商基金,007685,华商电子行业量化股票发起式A,2706,9.31,167.53
3,艾定飞,华商基金,007853,华商计算机行业量化股票发起式A,2706,9.31,167.53
3,艾定飞,华商基金,015094,华商300智选混合A,2706,9.31,167.53
3,艾定飞,华商基金,015095,华商300智选混合C,2706,9.31,167.53
3,艾定飞,华商基金,017628,华商计算机行业量化股票发起式C,2706,9.31,167.53
3,艾定飞,华商基金,022831,华商电子行业量化股票发起式C,2706,9.31,167.53
3,艾定飞,华商基金,023323,华商上证科创板100指数增强A,2706,9.31,167.53
3,艾定飞,华商基金,023324,华商上证科创板100指数增强C,2706,9.31,167.53
3,艾定飞,华商基金,023897,华商上证科创板综合指数增强A,2706,9.31,167.53
3,艾定飞,华商基金,023898,华商上证科创板综合指数增强C,2706,9.31,167.53
3,艾定飞,华商基金,024313,华商沪深300指数增强A,2706,9.31,167.53
3,艾定飞,华商基金,024314,华商沪深300指数增强C,2706,9.31,167.53
3,艾定飞,华商基金,630015,华商大盘量化精选混合,2706,9.31,167.53
4,敖明皓,广发基金,019374,广发睿杰精选混合发起式A1,30,14.06,21.76
4,敖明皓,广发基金,019375,广发睿杰精选混合发起式A2,30,14.06,21.76
4,敖明皓,广发基金,019376,广发睿杰精选混合发起式A3,30,14.06,21.76
5,艾雪晗,红土创新基金,006061,红土创新增强收益债券A,283,5.08,1.84
5,艾雪晗,红土创新基金,006064,红土创新增强收益债券C,283,5.08,1.84
6,艾小军,国泰基金,000218,国泰黄金ETF联接A,4484,2109.33,318.96
6,艾小军,国泰基金,004253,国泰黄金ETF联接C,4484,2109.33,318.96
6,艾小军,国泰基金,007817,国泰中证全指通信设备ETF联接A,4484,2109.33,318.96
6,艾小军,国泰基金,007818,国泰中证全指通信设备ETF联接C,4484,2109.33,318.96
6,艾小军,国泰基金,010210,国泰中证计算机主题ETF联接C,4484,2109.33,318.96
6,艾小军,国泰基金,012362,国泰中证全指证券公司ETF联接A,4484,2109.33,318.96
6,艾小军,国泰基金,012363,国泰中证全指证券公司ETF联接C,4484,2109.33,318.96
6,艾小军,国泰基金,014994,国泰金融ETF联接C,4484,2109.33,318.96
6,艾小军,国泰基金,015598,国泰中证申万证券行业指数(LOF)C,4484,2109.33,318.96
6,艾小军,国泰基金,015599,国泰国证航天军工指数(LOF)C,4484,2109.33,318.96
6,艾小军,国泰基金,020021,国泰金融ETF联接A,4484,2109.33,318.96
6,艾小军,国泰基金,022500,国泰中证全指通信设备ETF联接E,4484,2109.33,318.96
6,艾小军,国泰基金,022502,国泰黄金ETF联接E,4484,2109.33,318.96
6,艾小军,国泰基金,022509,国泰中证全指证券公司ETF联接E,4484,2109.33,318.96
6,艾小军,国泰基金,022541,国泰中证计算机主题ETF联接E,4484,2109.33,318.96
6,艾小军,国泰基金,159516,半导体设备ETF国泰,4484,2109.33,318.96
6,艾小军,国泰基金,159612,标普500ETF国泰,4484,2109.33,318.96
6,艾小军,国泰基金,160224,国泰中证计算机主题ETF联接A,4484,2109.33,318.96
6,艾小军,国泰基金,501016,国泰中证申万证券行业指数(LOF)A,4484,2109.33,318.96
6,艾小军,国泰基金,501019,国泰国证航天军工指数(LOF)A,4484,2109.33,318.96
6,艾小军,国泰基金,510230,金融ETF国泰,4484,2109.33,318.96
6,艾小军,国泰基金,512660,军工ETF国泰,4484,2109.33,318.96
6,艾小军,国泰基金,512720,计算机ETF国泰,4484,2109.33,318.96
6,艾小军,国泰基金,512760,芯片ETF国泰,4484,2109.33,318.96
6,艾小军,国泰基金,512880,证券ETF国泰,4484,2109.33,318.96
6,艾小军,国泰基金,513100,纳指ETF国泰,4484,2109.33,318.96
6,艾小军,国泰基金,515880,通信ETF国泰,4484,2109.33,318.96
6,艾小军,国泰基金,518800,黄金ETF国泰,4484,2109.33,318.96
7,安昀,施罗德基金(中国),020042,施罗德恒享债券A,3593,11.25,89.17
7,安昀,施罗德基金(中国),020043,施罗德恒享债券C,3593,11.25,89.17
7,安昀,施罗德基金(中国),020236,施罗德中国动力股票A,3593,11.25,89.17
7,安昀,施罗德基金(中国),020237,施罗德中国动力股票C,3593,11.25,89.17
8,包兵华,鹏华基金,007146,鹏华研究智选混合,2561,19.8,192.66
8,包兵华,鹏华基金,010264,鹏华成长智选混合A,2561,19.8,192.66
8,包兵华,鹏华基金,010265,鹏华成长智选混合C,2561,19.8,192.66
9,白冰洋,富国基金,019941,富国洞见价值股票A,3169,11.42,61.62
9,白冰洋,富国基金,019942,富国洞见价值股票C,3169,11.42,61.62
9,白冰洋,富国基金,022168,富国洞见价值股票E,3169,11.42,61.62
10,薄官辉,银华基金,000823,银华高端制造业混合A,4013,21.7,219.81
10,薄官辉,银华基金,001163,银华中国梦30股票,4013,21.7,219.81
10,薄官辉,银华基金,011817,银华阿尔法混合,4013,21.7,219.81
10,薄官辉,银华基金,012502,银华安盛混合,4013,21.7,219.81
10,薄官辉,银华基金,014346,银华消费主题混合C,4013,21.7,219.81
10,薄官辉,银华基金,016263,银华高端制造业混合C,4013,21.7,219.81
10,薄官辉,银华基金,161818,银华消费主题混合A,4013,21.7,219.81
10,薄官辉,银华基金,180001,银华优势企业混合,4013,21.7,219.81
11,白圭尧,平安基金,020456,平安上证红利低波动指数A,303,418.79,31.85
11,白圭尧,平安基金,020457,平安上证红利低波动指数C,303,418.79,31.85
11,白圭尧,平安基金,020781,平安富时中国国企开放共赢ETF联接A,303,418.79,31.85
11,白圭尧,平安基金,020782,平安富时中国国企开放共赢ETF联接C,303,418.79,31.85
11,白圭尧,平安基金,024545,平安富时中国国企开放共赢ETF联接E,303,418.79,31.85
11,白圭尧,平安基金,024611,平安上证红利低波动指数E,303,418.79,31.85
11,白圭尧,平安基金,024887,平安中证全指自由现金流ETF联接A,303,418.79,31.85
11,白圭尧,平安基金,024888,平安中证全指自由现金流ETF联接C,303,418.79,31.85
11,白圭尧,平安基金,159199,平安国证石油天然气ETF,303,418.79,31.85
11,白圭尧,平安基金,159233,自由现金流ETF平安,303,418.79,31.85
11,白圭尧,平安基金,159651,国开债ETF平安,303,418.79,31.85
11,白圭尧,平安基金,159719,国企ETF平安,303,418.79,31.85
11,白圭尧,平安基金,511020,国债ETF平安,303,418.79,31.85
11,白圭尧,平安基金,511030,公司债ETF平安,303,418.79,31.85
11,白圭尧,平安基金,512390,中国低波ETF平安,303,418.79,31.85
11,白圭尧,平安基金,512970,大湾区ETF平安,303,418.79,31.85
11,白圭尧,平安基金,516760,养殖ETF平安,303,418.79,31.85
11,白圭尧,平安基金,516820,医疗创新ETF平安,303,418.79,31.85
11,白圭尧,平安基金,561680,A500红利低波ETF平安,303,418.79,31.85
12,边慧,银华基金,004087,银华添润定期开放债券A,1855,14.09,16.76
12,边慧,银华基金,006612,银华信用精选一年定开债,1855,14.09,16.76
12,边慧,银华基金,012092,银华信用精选两年定开债,1855,14.09,16.76
12,边慧,银华基金,020890,银华添润定期开放债券D,1855,14.09,16.76
