货币对,1周,1月,3月,6月,9月,1年
USD/CNY,-39.00/-38.90,-141.43/-141.27,-422.00/-421.01,-828.00/-827.00,-1224.00/-1224.00,-1597.00/-1595.00
EUR/CNY,-14.94/-14.74,-52.53/-52.07,-166.91/-166.42,-383.92/-383.76,-617.24/-617.08,-849.40/-846.88
100JPY/CNY,529.00/530.00,2011.00/2069.00,6273.00/6293.00,11966.00/12145.00,17687.00/18039.00,22021.00/22039.00
HKD/CNY,-2.40/-2.40,-7.63/-7.54,-25.63/-25.19,-52.28/-50.79,-84.60/-84.03,-114.16/-113.64
GBP/CNY,-53.85/-53.65,-194.93/-194.67,-601.05/-598.94,-1262.67/-1258.83,-1947.95/-1947.61,-2603.60/-2600.36
AUD/CNY,-32.68/-32.38,-123.60/-123.46,-380.15/-379.49,-778.76/-777.82,-1191.24/-1189.62,-1582.48/-1581.79
NZD/CNY,-10.43/-9.68,-40.94/-39.54,-132.15/-129.97,-289.40/-282.28,-476.42/-465.94,-681.06/-662.63
SGD/CNY,-1.00/-0.38,1.46/2.66,7.92/9.60,28.15/32.32,50.50/55.50,67.97/73.81
CHF/CNY,25.03/25.26,98.99/100.40,309.18/310.20,631.20/631.58,944.37/946.72,1238.04/1242.10
CAD/CNY,-12.36/-12.34,-41.05/-40.99,-119.85/-118.78,-242.77/-241.99,-380.37/-379.69,-539.63/-537.63
CNY/MOP,---/---,---/---,---/---,---/---,---/---,---/---
CNY/MYR,1.98/2.26,7.21/8.05,21.57/23.25,42.53/45.12,65.36/70.62,91.28/97.27
CNY/RUB,---/---,---/---,---/---,---/---,---/---,---/---
CNY/ZAR,25.40/25.65,105.42/106.00,315.57/320.69,661.66/663.22,1019.06/1020.98,1374.30/1378.15
CNY/KRW,---/---,25.02/27.77,72.08/75.34,135.20/145.71,208.83/211.33,285.30/294.86
CNY/AED,2.82/2.88,8.38/8.66,31.45/31.87,62.92/63.61,94.69/95.87,125.33/126.08
CNY/SAR,3.72/3.87,10.49/10.65,40.61/40.76,80.40/81.50,120.69/120.70,158.86/159.71
CNY/HUF,440.08/464.00,1685.00/1733.00,5156.00/5176.00,10413.00/10473.54,15229.81/15618.70,20204.00/20706.00
CNY/PLN,3.02/3.12,11.02/11.26,33.54/33.73,69.24/69.52,108.33/109.54,148.94/150.62
CNY/DKK,1.04/1.07,3.25/3.27,11.04/11.42,27.77/29.16,47.88/50.22,68.21/71.75
CNY/SEK,1.89/2.06,6.48/6.85,20.68/21.25,43.21/44.91,71.24/73.61,103.37/104.10
CNY/NOK,8.35/8.41,31.22/32.91,101.00/101.90,211.16/212.51,326.31/327.58,440.12/440.82
CNY/TRY,464.72/508.77,1777.21/1873.67,6063.54/6157.90,12715.34/12921.65,19994.34/20127.36,27066.34/27211.76
CNY/MXN,14.42/14.60,52.54/53.12,158.09/158.69,312.04/315.16,463.59/466.19,608.31/610.38
CNY/THB,31.00/33.30,100.00/109.00,198.00/200.00,259.00/262.00,303.00/316.00,333.00/362.55
