时间,前值,现值,发布日期
2008年01月,0.6,-1.0,2008-02-16
2008年02月,-1.0,0.3,2008-03-18
2008年03月,0.3,0.4,2008-04-16
2008年04月,0.4,0.5,2008-05-17
2008年05月,0.5,0.3,2008-06-16
2008年06月,0.3,0.3,2008-07-17
2008年07月,0.3,-0.2,2008-08-16
2008年08月,-0.2,0.6,2008-09-16
2008年10月,0.2,0.0,2008-11-16
2008年11月,0.0,0.1,2008-12-17
2008年12月,0.1,-0.3,2009-01-16
2009年01月,-0.3,-0.8,2009-02-16
2009年02月,-0.8,0.7,2009-03-19
2009年03月,0.7,0.4,2009-04-16
2009年04月,0.4,0.4,2009-05-17
2009年05月,0.4,0.4,2009-06-16
2009年06月,0.4,0.2,2009-07-17
2009年07月,0.2,0.0,2009-08-16
2009年08月,0.0,0.6,2009-09-16
2009年10月,0.1,0.1,2009-11-16
2009年11月,0.1,0.2,2009-12-17
2009年12月,0.2,0.6,2010-01-16
2010年01月,0.6,-0.6,2010-02-16
2010年02月,-0.6,0.4,2010-03-19
2010年03月,0.4,0.5,2010-04-16
2010年04月,0.5,0.4,2010-05-17
2010年05月,0.4,0.3,2010-06-16
2010年06月,0.3,0.3,2010-07-17
2010年07月,0.3,-0.4,2010-08-16
2010年08月,-0.4,0.7,2010-09-16
2010年09月,0.7,0.0,2010-10-17
2010年10月,0.0,0.1,2010-11-16
2010年11月,0.1,0.2,2010-12-17
2010年12月,0.2,0.7,2011-01-16
2011年01月,0.7,-0.4,2011-02-16
2011年02月,-0.4,0.8,2011-03-19
2011年03月,0.8,0.3,2011-04-16
2011年04月,0.3,0.9,2011-05-17
2011年05月,0.9,0.0,2011-06-16
2011年06月,0.0,-0.2,2011-07-17
2011年07月,-0.2,0.0,2011-08-16
2011年08月,0.0,0.7,2011-09-16
2011年09月,0.7,0.2,2011-10-17
2011年10月,0.2,0.2,2011-11-16
2011年11月,0.2,0.1,2011-12-17
2011年12月,0.1,0.5,2012-01-16
2012年01月,0.5,-0.8,2012-02-16
2012年02月,-0.8,0.6,2012-03-18
2012年03月,0.6,0.4,2012-04-16
2012年04月,0.4,0.6,2012-05-17
2012年05月,0.6,0.1,2012-06-16
2012年06月,0.1,-0.3,2012-07-17
2012年07月,-0.3,0.1,2012-08-16
2012年08月,0.1,0.5,2012-09-16
2012年09月,0.5,0.3,2012-10-17
2012年10月,0.3,0.7,2012-11-16
2012年11月,0.7,0.1,2012-12-17
2012年12月,0.1,0.2,2013-01-16
2013年01月,0.2,-0.9,2013-02-16
2013年02月,-0.9,0.6,2013-03-19
2013年03月,0.6,0.5,2013-04-16
2013年04月,0.5,0.1,2013-05-17
2013年05月,0.1,0.4,2013-06-16
2013年06月,0.4,-0.2,2013-07-17
2013年07月,-0.2,-0.2,2013-08-16
2013年08月,-0.2,0.4,2013-09-16
2013年09月,0.4,0.4,2013-10-17
2013年10月,0.4,0.2,2013-11-16
2013年11月,0.2,0.1,2013-12-17
2013年12月,0.1,0.1,2014-01-16
2014年01月,0.1,-0.9,2014-02-16
2014年02月,-0.9,0.7,2014-03-19
2014年03月,0.7,0.4,2014-04-16
2014年04月,0.4,0.5,2014-05-17
2014年05月,0.5,0.0,2014-06-16
2014年06月,0.0,0.2,2014-07-17
2014年07月,0.2,-0.4,2014-08-16
2014年08月,-0.4,0.5,2014-09-16
2014年09月,0.5,0.1,2014-10-17
2014年10月,0.1,0.2,2014-11-16
2014年11月,0.2,-0.1,2014-12-17
2014年12月,-0.1,0.2,2015-01-16
2015年01月,0.2,-0.8,2015-02-16
2015年02月,-0.8,0.5,2015-03-19
2015年03月,0.5,0.2,2015-04-16
2015年04月,0.2,0.3,2015-05-17
2015年05月,0.3,0.1,2015-06-16
2015年06月,0.1,0.1,2015-07-14
2015年07月,0.1,0.0,2015-08-18
2015年08月,0.0,0.4,2015-09-15
2015年09月,0.4,0.1,2015-10-13
2015年10月,0.1,0.3,2015-11-17
2015年11月,0.3,0.0,2015-12-15
2015年12月,0.0,0.3,2016-01-19
2016年01月,0.3,-1.0,2016-02-16
2016年02月,-1.0,0.4,2016-03-22
2016年03月,0.4,0.6,2016-04-12
2016年04月,0.6,0.0,2016-05-17
2016年05月,0.0,0.2,2016-06-14
2016年06月,0.2,0.2,2016-07-19
