日期,价格
2025-10-07,11.87
2025-10-08,11.81
2025-10-09,11.62
2025-10-10,11.39
2025-10-11,11.18
2025-10-12,10.97
2025-10-13,10.95
2025-10-14,10.87
2025-10-15,10.94
2025-10-16,11.03
2025-10-17,10.99
2025-10-18,11.07
2025-10-19,11.03
2025-10-20,11.25
2025-10-21,11.15
2025-10-22,11.38
2025-10-23,11.42
2025-10-24,11.6
2025-10-25,11.72
2025-10-26,11.72
2025-10-27,11.86
2025-10-28,12.03
2025-10-29,12.2
2025-10-30,12.35
2025-10-31,12.15
2025-11-01,12.39
2025-11-02,12.28
2025-11-03,12.04
2025-11-04,11.86
2025-11-05,11.76
2025-11-06,11.76
2025-11-07,11.75
2025-11-08,11.87
2025-11-09,11.86
2025-11-10,11.75
2025-11-11,11.73
2025-11-12,11.59
2025-11-13,11.53
2025-11-14,11.56
2025-11-15,11.64
2025-11-16,11.54
2025-11-17,11.44
2025-11-18,11.42
2025-11-19,11.55
2025-11-20,11.52
2025-11-21,11.46
2025-11-22,11.42
2025-11-23,11.47
2025-11-24,11.34
2025-11-25,11.34
2025-11-26,11.29
2025-11-27,11.11
2025-11-28,11.09
2025-11-29,11.1
2025-11-30,11.13
2025-12-01,11.07
2025-12-02,11.19
2025-12-03,11.14
2025-12-04,11.08
2025-12-05,11.03
2025-12-06,11.04
2025-12-07,11.04
2025-12-08,10.9
2025-12-09,11.06
2025-12-10,11.05
2025-12-11,11.06
2025-12-12,11.03
2025-12-13,11.34
2025-12-14,11.34
2025-12-15,11.24
2025-12-16,11.19
2025-12-17,11.15
2025-12-18,11.23
2025-12-19,11.27
2025-12-20,11.35
2025-12-21,11.29
2025-12-22,11.14
2025-12-23,11.19
2025-12-24,11.32
2025-12-25,11.35
2025-12-26,11.51
2025-12-27,11.57
2025-12-28,11.7
2025-12-29,12.05
2025-12-30,12.11
2025-12-31,12.14
2026-01-01,12.46
2026-01-02,12.39
2026-01-03,12.31
2026-01-04,12.14
2026-01-05,12.12
2026-01-06,12.25
2026-01-07,12.2
2026-01-08,12.25
2026-01-09,12.17
2026-01-10,12.34
2026-01-11,12.45
2026-01-12,12.36
2026-01-13,12.44
2026-01-14,12.5
